date,chain,tvl
2020-10-30,BSC,12873962
2020-10-31,BSC,12873962
2020-11-01,BSC,13037819
2020-11-02,BSC,12770915
2020-11-03,BSC,13495240
2020-11-04,BSC,13530442
2020-11-05,BSC,15338680
2020-11-06,BSC,15497670
2020-11-07,BSC,17966420
2020-11-08,BSC,20704446
2020-11-09,BSC,30993612
2020-11-10,BSC,35145094
2020-11-11,BSC,36601185
2020-11-12,BSC,34609970
2020-11-13,BSC,43141355
2020-11-14,BSC,49405387
2020-11-15,BSC,50307315
2020-11-16,BSC,53024197
2020-11-17,BSC,57720724
2020-11-18,BSC,54573742
2020-11-19,BSC,54663058
2020-11-20,BSC,94196326
2020-11-21,BSC,93928146
2020-11-22,BSC,87435465
2020-11-23,BSC,91017810
2020-11-24,BSC,89695731
2020-11-25,BSC,99562190
2020-11-26,BSC,121411669
2020-11-27,BSC,117202651
2020-11-28,BSC,115299501
2020-11-29,BSC,123496696
2020-11-30,BSC,128877018
2020-12-01,BSC,128877565
2020-12-02,BSC,136185931
2020-12-03,BSC,145726230
2020-12-04,BSC,140793305
2020-12-05,BSC,150801397
2020-12-06,BSC,153931300
2020-12-07,BSC,150942527
2020-12-08,BSC,145172899
2020-12-09,BSC,159227044
2020-12-10,BSC,153624513
2020-12-11,BSC,154954075
2020-12-12,BSC,153322085
2020-12-13,BSC,158235231
2020-12-14,BSC,160183942
2020-12-15,BSC,161153341
2020-12-16,BSC,166531661
2020-12-17,BSC,175162165
2020-12-18,BSC,174539071
2020-12-19,BSC,175953955
2020-12-20,BSC,178428872
2020-12-21,BSC,167655845
2020-12-22,BSC,163504052
2020-12-23,BSC,162487389
2020-12-24,BSC,156996308
2020-12-25,BSC,150390493
2020-12-26,BSC,150263756
2020-12-27,BSC,125116983
2020-12-28,BSC,127729346
2020-12-29,BSC,171635719
2020-12-30,BSC,154285952
2020-12-31,BSC,145355384
2021-01-01,BSC,162854223
2021-01-02,BSC,167630390
2021-01-03,BSC,172123374
2021-01-04,BSC,186895591
2021-01-05,BSC,211045497
2021-01-06,BSC,215858449
2021-01-07,BSC,215456820
2021-01-08,BSC,197292639
2021-01-09,BSC,211193044
2021-01-10,BSC,215677849
2021-01-11,BSC,184496958
2021-01-12,BSC,185600201
2021-01-13,BSC,214434278
2021-01-14,BSC,217599743
2021-01-15,BSC,171685430
2021-01-16,BSC,215420287
2021-01-17,BSC,211031768
2021-01-18,BSC,231750203
2021-01-19,BSC,235382763
2021-01-20,BSC,232123357
2021-01-21,BSC,204701039
2021-01-22,BSC,231994977
2021-01-23,BSC,245764151
2021-01-24,BSC,269642597
2021-01-25,BSC,281525091
2021-01-26,BSC,291509015
2021-01-27,BSC,316893490
2021-01-28,BSC,342144373
2021-01-29,BSC,363634596
2021-01-30,BSC,360983052
2021-01-31,BSC,351526511
2021-02-01,BSC,388359333
2021-02-02,BSC,375610550
2021-02-03,BSC,397560937
2021-02-04,BSC,414897175
2021-02-05,BSC,445859196
2021-02-06,BSC,462654032
2021-02-07,BSC,533451632
2021-02-08,BSC,575448744
2021-02-09,BSC,679656924
2021-02-10,BSC,798431849
2021-02-11,BSC,963095849
2021-02-12,BSC,959651447
2021-02-13,BSC,976320327
2021-02-14,BSC,956275235
2021-02-15,BSC,1033676705
2021-02-16,BSC,1083552801
2021-02-17,BSC,1161302795
2021-02-18,BSC,1278908152
2021-02-19,BSC,1525907580
2021-02-20,BSC,1891195844
2021-02-21,BSC,2045564976
2021-02-22,BSC,2041735457
2021-02-23,BSC,1854970032
2021-02-24,BSC,1510613712
2021-02-25,BSC,1816983477
2021-02-26,BSC,2206453184
2021-02-27,BSC,2079475921
2021-02-28,BSC,2072308334
2021-03-01,BSC,2012083353
2021-03-02,BSC,2198939372
2021-03-03,BSC,2162801167
2021-03-04,BSC,2398172624
2021-03-05,BSC,2349522229
2021-03-06,BSC,2228973222
